内容类型,决策/任务描述,责任人,截止时间,原始字幕位置,是否需人工确认,置信度,原始字幕文本
行动项,好的，我们今天开这个产品周会，主要讨论一下下周的工作安排。,张总,(缺失),L5-L5,是,65%,张总: 好的，我们今天开这个产品周会，主要讨论一下下周的工作安排。
行动项,我觉得我们当前的优先级应该是先完成支付模块的重构，这块已经拖了两周了。,李明,(缺失),L13-L13,是,65%,李明: 我觉得我们当前的优先级应该是先完成支付模块的重构，这块已经拖了两周了。
普通讨论,支付模块确实比较紧急，但我觉得用户反馈系统也很重要，最近投诉量上升了30%。,(缺失),(缺失),L21-L21,否,60%,王芳: 支付模块确实比较紧急，但我觉得用户反馈系统也很重要，最近投诉量上升了30%。
正式决策,这样吧，我们决定优先推进支付模块重构，由李明负责，下周五之前完成。,李明,2026-08-07,L29-L29,否,75%,张总: 这样吧，我们决定优先推进支付模块重构，由李明负责，下周五之前完成。
行动项,王芳，你跟进一下用户反馈系统的需求梳理，8月15日之前给我一个方案。,张总,2026-08-15,L37-L37,否,65%,张总: 王芳，你跟进一下用户反馈系统的需求梳理，8月15日之前给我一个方案。
普通讨论,那数据迁移的事情谁来管？我觉得这个也不能拖太久。,(缺失),(缺失),L45-L45,否,60%,赵强: 那数据迁移的事情谁来管？我觉得这个也不能拖太久。
行动项,好的，那我今天就开始搞支付模块，预计需要一周时间。,李明,(缺失),L61-L61,是,65%,李明: 好的，那我今天就开始搞支付模块，预计需要一周时间。
普通讨论,我这边有个想法，要不要把消息推送也加到下个迭代里？,(缺失),(缺失),L77-L77,否,60%,陈晨: 我这边有个想法，要不要把消息推送也加到下个迭代里？
普通讨论,消息推送暂时先不做，这个不是当前的重点。,(缺失),(缺失),L85-L85,否,60%,张总: 消息推送暂时先不做，这个不是当前的重点。
正式决策,另外，决定下周三上午10点开一次技术评审会，所有人都参加。,(缺失),2026-08-05,L93-L93,是,70%,张总: 另外，决定下周三上午10点开一次技术评审会，所有人都参加。
普通讨论,数据迁移我觉得最晚8月底得启动了，不然赶不上Q3的排期。,(缺失),(缺失),L101-L101,否,60%,赵强: 数据迁移我觉得最晚8月底得启动了，不然赶不上Q3的排期。
行动项,赵强你来负责数据迁移的预研，8月20日之前给我一个评估报告。,赵强,2026-08-20,L109-L109,否,65%,张总: 赵强你来负责数据迁移的预研，8月20日之前给我一个评估报告。
行动项,陈晨你消息推送的调研先不用急，等下个迭代再安排。,张总,(缺失),L125-L125,是,65%,张总: 陈晨你消息推送的调研先不用急，等下个迭代再安排。
行动项,好，今天就到这里，大家各自推进，有问题随时同步。,张总,(缺失),L157-L157,是,65%,张总: 好，今天就到这里，大家各自推进，有问题随时同步。
